lot,artist,title,estimate_low_usd,estimate_high_usd,sold_price_usd
681,Adriana Varejão,Tela sobre pratos,400000,600000,486400
682,Antonio Santin,Dystopian Blues,60000,80000,102400
683,Joel Shapiro,Untitled,300000,500000,256000
685,George Condo,Abstract Stick Figure,250000,350000,409600
686,Tom Wesselmann,"Maquette for Still Life with Fruit, Petunias and Claire (3-D)",30000,50000,44800
688,Andy Warhol,Diamond Candy Box,80000,120000,
689,Robert Colescott,A Winning Combination,80000,120000,
690,Andy Warhol,Be a Somebody with a Body,60000,80000,
691,Andy Warhol,Rorschach,100000,150000,
692,Andy Warhol,Jon Gould,150000,250000,
693,Andy Warhol,Herman Hesse,200000,300000,
694,Andy Warhol,Lenin,120000,180000,
695,John Baldessari,Double Bill (Part Two):...and Ernst,150000,200000,
696,Everlyn Nicodemus,Silent Strength 47,12000,18000,
697,Julie Curtiss,The Funeral,80000,120000,
698,Hernan Bas,Vincent and the Venetian Vampire,120000,180000,
699,Miriam Cahn,im fernsehen gesehen,50000,70000,
700,Rashid Johnson,Untitled Anxious Bruise Drawing,250000,350000,
701,Raymond Pettibon,No Title (You really have...),25000,35000,
702,Raymond Pettibon,No Title (Here's one sent...),30000,40000,
703,Salvo,Ottobre,40000,60000,
705,Fernando Botero,Roman Soldier,350000,550000,
706,McArthur Binion,dna: sketch: 10,12000,18000,
707,Günther Förg,Untitled,100000,150000,
708,Idris Khan,Numbers,40000,60000,
710,Winfred Rembert,The Quarters,60000,80000,
711,Barkley L. Hendricks,Quarry Shortcut,50000,70000,
712,Mickalene Thomas,Josephine Baker,150000,250000,
713,Do Ho Suh,Staircase/s,200000,300000,
714,Elaine Reichek,"Swatch, Riley",3000,5000,
715,Gregory Crewdson,Untitled,40000,60000,
716,Barkley L. Hendricks,"Gratz 2 Yale, New Haven, CT",8000,12000,
717,Richard Prince,Spiritual America IV,500000,700000,
718,Walker Evans,"Municipal Trailer Camp, Mangrove, Florida",5000,7000,
719,Tammy Nguyen,With Rarest Juices,20000,30000,
720,Dominic Chambers,Blue DayDream (Shikeith in Blue) (from Primary Magic),40000,60000,
721,Meleko Mokgosi,Pearl Earrings,20000,30000,
722,Howardena Pindell,Untitled #123,20000,30000,
724,Andy Warhol,"Tomato Soup, from Campbell's Soup I",30000,50000,
725,Andy Warhol,Puma Invader,80000,120000,
726,Ed Ruscha,OR,25000,35000,
727,John Baldessari,Prima Facie (Fifth State): Brevity,60000,80000,
729,George Condo,Untitled,80000,120000,
730,Thomas Houseago,Portrait (Sleeper),40000,60000,
731,Shirin Neshat,Leah (Masses) (from The Book of Kings),15000,25000,
732,Yu Nishimura,untitled,15000,20000,
733,George Rouy,Hairdressers Child,40000,60000,
734,Diane Dal-Pra,Untitled,60000,80000,
735,Robert Nava,Violet Lightning Call,60000,80000,
736,Leidy Churchmann,Cool Boredom,20000,30000,
737,Gabriel de la Mora,Niños jugando,15000,25000,
738,Ed Paschke,Allez vous en,30000,40000,
739,Louise Bonnet,Small Veil,60000,80000,
740,Wade Guyton and Kelley Walker,Untitled,15000,20000,
741,Tesfaye Urgessa,No Country for Young Men 12,7000,10000,
742,Gabriel de la Mora,Sin título,25000,35000,
743,José Bedia,País contemplativo,20000,30000,
744,Roberto Fabelo,Naturaleza casi viva o casi muerta,30000,50000,
745,Roberto Fabelo,Pequeño teatro,40000,60000,
M1,Pablo Picasso,Deux femmes nues assises,700000,1000000,1536000
M2,Willem de Kooning,Untitled,4000000,6000000,10800000
M3,Joan Miró,Dormeurs réveillés par un oiseau,3000000,5000000,6464000
M4,Willem de Kooning,Untitled XLII,9000000,12000000,12410000
