lot,artist,title,estimate_low_usd,estimate_high_usd,sold_price_usd,midpoint,norm_position,sold_over_mid,log_sold_over_mid
508,Keith Haring,Untitled,600000,800000,832000,700000.0,1.16,1.1886,0.1728
509,Keith Haring,Untitled,120000,180000,153600,150000.0,0.56,1.024,0.0237
510,Keith Haring,Untitled,100000,150000,358400,125000.0,5.168,2.8672,1.0533
511,Keith Haring,Untitled,250000,350000,435200,300000.0,1.852,1.4507,0.372
512,Keith Haring,Untitled,250000,350000,345600,300000.0,0.956,1.152,0.1415
513,Keith Haring,Untitled,200000,300000,793600,250000.0,5.936,3.1744,1.1551
514,Keith Haring,Untitled,70000,100000,38400,85000.0,-1.0533,0.4518,-0.7946
515,Keith Haring,Untitled,200000,300000,217600,250000.0,0.176,0.8704,-0.1388
516,Keith Haring,Untitled,250000,350000,192000,300000.0,-0.58,0.64,-0.4463
517,Keith Haring,Untitled,50000,70000,61440,60000.0,0.572,1.024,0.0237
518,Keith Haring,Untitled,80000,120000,115200,100000.0,0.88,1.152,0.1415
519,Keith Haring,Untitled (Painted Man),40000,60000,96000,50000.0,2.8,1.92,0.6523
601,John C. Kacere,Untitled,12000,18000,57600,15000.0,7.6,3.84,1.3455
602,Sanya Kantarovsky,Spleen,80000,120000,204800,100000.0,3.12,2.048,0.7169
603,Graham Little,Untitled (Boutique),10000,15000,44800,12500.0,6.96,3.584,1.2765
604,Antonio Obá,Herói do fogo interior II - A façanha,80000,120000,204800,100000.0,3.12,2.048,0.7169
605,Maki Na Kamura,Ed VII,40000,60000,35840,50000.0,-0.208,0.7168,-0.333
607,Ernst Yohji Jäger,o.T.,30000,40000,38400,35000.0,0.84,1.0971,0.0927
608,Mike Kelley,City 13,70000,100000,128000,85000.0,1.9333,1.5059,0.4094
609,Olga de Amaral,Cesta lunar 41,600000,800000,742400,700000.0,0.712,1.0606,0.0588
610,Rachel Jones,A Sliced Tooth,250000,350000,384000,300000.0,1.34,1.28,0.2469
611,Yu Nishimura,look into,60000,80000,140800,70000.0,4.04,2.0114,0.6988
612,Matthew Wong,Ruins,400000,600000,384000,500000.0,-0.08,0.768,-0.264
613,Yoshitomo Nara,No. 1,100000,150000,307200,125000.0,4.144,2.4576,0.8992
614,Yoshitomo Nara,No. 2,100000,150000,281600,125000.0,3.632,2.2528,0.8122
615,Yoshitomo Nara,No. 3,100000,150000,307200,125000.0,4.144,2.4576,0.8992
616,Raymond Pettibon,No Title (There was no...),250000,350000,486400,300000.0,2.364,1.6213,0.4832
618,Ed Ruscha,Paradise,400000,600000,512000,500000.0,0.56,1.024,0.0237
619,Jonas Wood,French Open Four,400000,600000,896000,500000.0,2.48,1.792,0.5833
620,Banksy,Spray Can Flame,400000,600000,512000,500000.0,0.56,1.024,0.0237
621,Rashid Johnson,Untitled Broken Crowd,800000,1200000,1024000,1000000.0,0.56,1.024,0.0237
622,Jonas Wood,Frimkess Still Life with Red-Leafed Plant,60000,80000,89600,70000.0,1.48,1.28,0.2469
623,Lisa Yuskavage,Photoshoot,600000,800000,832000,700000.0,1.16,1.1886,0.1728
625,Fernando Botero,The Bride,800000,1200000,870400,1000000.0,0.176,0.8704,-0.1388
626,Alex Katz,Emma,600000,800000,960000,700000.0,1.8,1.3714,0.3159
628,Jonas Wood,Clipping J1,500000,700000,640000,600000.0,0.7,1.0667,0.0645
